Res	Uno	Wst
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
5	4	0
40	27	0
49	56	0
56	58	0
61	51	41
89	55	47
102	64	54
157	80	69
169	85	76
179	90	60
180	95	70
150	90	65
100	65	76
70	70	78
70	80	67
50	90	54
80	110	78
90	140	89
90	190	90
100	200	100
120	240	120
160	250	170
180	230	200
185	245	220
140	250	175
130	210	140
120	175	135
100	100	100
80	45	90
60	50	80
50	45	75
40	35	60
20	25	50
25	35	35
25	35	20
15	20	20
30	25	20
50	45	40
45	85	45
60	90	50
70	100	60
70	105	80
100	135	90
120	130	100
135	120	150
120	100	180
125	85	200
100	60	160
95	50	140
20	45	120
10	25	100
0	5	100
0	0	80
0	0	80
0	0	60
0	0	80
0	0	68
0	0	60
0	0	45
0	0	70
0	0	80
0	0	60
0	0	20
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
